Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000041729,Coro2b,253.0469522,234.17044,184.30464,102.0515102,128.19,76.7837,95.99996,184.17871,154.31003,301.34369,474.27774,569.18681,329.2379867,199.10734,151.0001645,174.15653
ENSMUSG00000020836,Coro6,103.4267827,121.4706,100.52419,70.2332,76.1889279,75.2625,142.59658,167.84702,135.4934,250.42723,265.45961,348.55714,221.44668,233.6885,210.1159,151.1305
ENSMUSG00000039637,Coro7,944.5298709,841.86859,737.275002,595.54667,625.362942,305.2217948,249.00048,792.08303,693.41293,1446.98437,1579.73865,2025.20887,1287.43084,633.76565,502.86239,494.83994
ENSMUSG00000028971,Cort,2,0,1,0,2,0,0,0,2,4,1,2,3,0,0,1
ENSMUSG00000031827,Cotl1,1663.00443,1504.000884,1136,847,930,132,465,403.9995,1050.998,2155,2208.9994,3321.003656,2072.0016,323,434,278.9996
ENSMUSG00000042148,Cox10,533.732,473,375.9999,249,333,194,98,425.9998,281.99972,579.701,634,876,515.54179,384.874,174,293
ENSMUSG00000020544,Cox11,191.3965,165.6937,150.9267,111.8322,122.048,116.3036,150.8127,226.4788,103.6426,244.9209,230.4427,329.3307,211.844,278.4528,234.664,188.0526
ENSMUSG00000023020,Cox14,856,671,589,376,404,334,261,818,365,793,980,1595,887,774,863,635
ENSMUSG00000040018,Cox15,1304.7941,1183.0399,923.9707,758.152,915.5105,469.7265,354.90875,1173.9797,755.2286,1654.737,1423.2114,2143.286,1364.1174,1212.3367,544.25285,828.7433
ENSMUSG00000091803,Cox16,569.122,535.23533,453.90298,280.70784,371.2062,194.8325601,244.8921,445.52324,243.05763,595.20622,647.56752,1068.99971,696.95902,455.8047602,510.8124,381.758473
ENSMUSG00000046516,Cox17,1205.80951,1073.38898,868.3582,554.24945,637.50837,320.357282,411.795384,785.31533,400.620601,1006.43329,1223.27947,1869.7075,1154.0562,691.931,1023.0219,526.45638
ENSMUSG00000035505,Cox18,549.9995,525.0006,417.9997,335.0004528,394.9996085,145.00004,167.0001,392.0002,281.0003,577.0001,542.9998,774.9994,493.9999,364.9999,210.00026,232.0006
ENSMUSG00000045438,Cox19,850.6732,771.91229,643.9747,420.1926,550.34911,429.99155,409.13134,1102.1559,521.406,1086.86135,1278.7109,1645.712,1081.96099,1071.6984,1138.4882,791.6257
ENSMUSG00000026500,Cox20,362.6109,357.2264,261.0032,210.1933,236.5373,156.7209,237.3347,189.844,213.551,513.856,482.5325,624.0095,411.8996,254.9735,364.4305,182.07578
ENSMUSG00000081359,Cox20-ps,0,2.44417,0,1.2166,1.13018,0,0,0,2.47768,1.12329,0,1.16183,0,0,0,0
ENSMUSG00000031818,Cox4i1,10691.2493,9310.6713,7612.2184,5356.9156,6461.6486,4000.84478,3639.2536,8996.437,5579.38572,12025.6554,12813.7206,18503.0916,11307.581,8873.9378,8972.1989,6955.0314
ENSMUSG00000009876,Cox4i2,23.00004186,22.00003734,11,16.99997407,15,8.000004192,1,25,13.99999224,33,31,36,13.99995116,19,13.00001425,5.999996828
ENSMUSG00000000088,Cox5a,3172.46,2864.41,2275.77,1592.53,1926.67,1013.83,1209.76,2183.05,1812.24,3844.92,3519.03,5424.94,3494.9,2227.1,2320.81,1492.56
ENSMUSG00000061518,Cox5b,2879.46,2299.51,2129.04,1225.98,1449.8,760,962,2148.78,1278.74,2932.73,3436.82,5274.46,2977.06,1792.81,2303,1475
ENSMUSG00000041697,Cox6a1,5077.0043,4142.9959,3662.0017,2244,2685,1858.9954,1681,4689,2390,5076,5965.9981,9542.9992,5105.0023,4097,3917,3304
ENSMUSG00000030785,Cox6a2,49,36,35,7,20,47,12,98,17,26,58,59,58,111.997,55,92.9983
ENSMUSG00000036751,Cox6b1,6239,5294,4711,2980,3928,2305,2120,5092,3425,7516,7296,10113,6567,5065,4996,3902
ENSMUSG00000051811,Cox6b2,212.00006,166.00002,119.99999,135.0001268,163.00008,383,173.00004,975.9999,167.00002,379.00038,331.00001,431.99982,253.00026,860.0004,389.00002,649.0005
ENSMUSG00000014313,Cox6c,4490.19313,3838.94815,3120.97617,2224.3055,2523.608803,1590.0327,2163.21722,4113.15865,2534.32968,4913.26922,5360.53599,7413.6113,4786.29536,3827.61169,4971.9996,2937.0444
ENSMUSG00000074218,Cox7a1,24,37,26,12,19,12,11,17,29,43,48,72,35,23,8,13
ENSMUSG00000032330,Cox7a2,3049.99,2610.99,2231.99,1666.98,1913.96,1023,1414.98,2262,1706.99,3775.98,3549.99,5230,3238.99,2293.99,3547.97,1758.96
ENSMUSG00000024248,Cox7a2l,6074.5726,5388.56,4733.26,3267.9973,4033.9993,2372.0029,1823,5773.9986,3554.6342,7634.0104,7089.7981,9964.4757,6376.6735,5324.6976,4868.9975,4038.02
ENSMUSG00000031231,Cox7b,3813.98198,3366.96447,2874,1867.988,2515.96304,1133,1177.9996,2461,2005.989,4617.99,4416.9469,6191.96,4080.96,2571.96,2879.99,1915.98808
ENSMUSG00000049387,Cox7b2,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0
ENSMUSG00000017778,Cox7c,181.31159,242.35988,159.0207,164.9585,198.44887,93.663,39.5534,193.0524,104.8839,306.5585,288.2151,413.9285,194.905,305.58513,271.61819,134.32002
ENSMUSG00000035885,Cox8a,3297,2782,2607,1575,1836,1294,1851,3307,1700,3651,3800,7106,3616,3012,3734,2219
ENSMUSG00000025488,Cox8b,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
ENSMUSG00000043319,Cox8c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000003617,Cp,375.6645127,393.8053,313.2010019,375.6613202,439.82734,736.2148,2595.412652,1836.90995,135.1293699,261.8694478,151.4503656,206.8061583,153.99555,1407.551761,3539.55375,1026.530861
ENSMUSG00000054446,Cpa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071553,Cpa2,3.999996,4,9,0,3,6,0,2.999999,6,13,13.999957,17.008785,8,12,8,7
ENSMUSG00000001865,Cpa3,1,2,1,2,2,2,0,3,2,3,1,0,0,9,0,0
ENSMUSG00000039070,Cpa4,15,4,2,7,13,8,12,23,5,5,11,18,8,15,2,13
ENSMUSG00000029788,Cpa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042501,Cpa6,1162.0734,1080.9713,847.727,725.9908,885.4988,351.039,157.350997,806.234,810.904,1588.3142,1398.5334,2001.6271,1310.6308,690.977,229.531,547.725
ENSMUSG00000011463,Cpb1,35.3304,25.179,21.1368,20.0855,38.2716,14.04557,0,32.25349,24.0997,55.4147,52.2656,56.252,34.10814,17.1688,22.0064,20.1352
ENSMUSG00000021999,Cpb2,2,1,1,1,0,0,0,1,1,1,0,4,1,4,9,1
ENSMUSG00000020841,Cpd,9411,9329.00177,7434.00391,6166,7368.99685,3218,1832,7859,4951,10552.95225,8748,11421.04154,7613.00136,7530,4130,5183.0046
ENSMUSG00000037852,Cpe,37475,34503,29988,19099,24706,13563,13589,31532,19824,42992,43988,66115,41789,32373,26155,22927
ENSMUSG00000025586,Cpeb1,2563.00214,2350.00222,2028.2601,1117.0002,1286.999,1085.9998,2838.9981,2635.16696,1527.99798,3195.21404,4189.8447,5638.00046,3744.0015,2634.86167,4539.00072,1823.00254
ENSMUSG00000039782,Cpeb2,1204.995201,1104.000501,905.99992,745.0008,826.0004001,1075.000262,742.99993,2572.005103,1146.00364,2255.99783,2063.001782,2908.00369,1896.99927,2587.9962,2104.00119,1902.99963
ENSMUSG00000039652,Cpeb3,275.93716,251.0585,215.00014,183.443,213.000111,143.13814,81,379.31557,221.5535325,435.33283,488.057074,593.44372,368.33695,350.23129,193.9996,267.00024
ENSMUSG00000020300,Cpeb4,5879.997,5896,4768.009,3360.009,4072.996,1074.999,837.0001,2815.998,1597,3070.002,3375.003,4458.999,2997.996,2376.004,2280.005,1648
ENSMUSG00000062980,Cped1,3718.03873,3590.81775,2760.72802,2170.07401,2659.66075,1286.72488,918.0003,3423.553675,2905.12218,5992.24152,5596.4552,7902.39561,4956.72997,3639.48027,1936.0038,2550.4811
ENSMUSG00000095975,Cphx1,1.34595,0.282609,1.77329,0,0,0.172976,0,0,0.172976,0.333333,0,0,1.01863,0.564413,0,0
ENSMUSG00000098463,Cphx2,1.34595,0,0,0,0,0.172976,0,0,0.172976,0.333333,1,0,0,0.564413,0,0
ENSMUSG00000094817,Cphx3,4.30809,8.71739,6.22671,2,0,1.654046,0,3,1.654046,2.333333,7,11,4.98137,2.871173,0,4
ENSMUSG00000033615,Cplx1,0,0,1,0,0,1,0,0,0,2,1,0,0,3,0,0
ENSMUSG00000025867,Cplx2,672.541,654.725,519.239,404.218,511.35,212.681,58.4676,550.419,416.049,859.264,872.928,1115.79,727.672,461.248,118.354,328.335
ENSMUSG00000039714,Cplx3,1.00062,1.01524,3.2276,1.00051,3.00211,1.00082,0,3.00889,1.00662,3.01357,5.03694,2.00142,5.00314,0,0,0
ENSMUSG00000024519,Cplx4,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1
ENSMUSG00000020183,Cpm,119.1031,101.76747,78.0408,83.2941,80.0339,53.20796,38.0281,179.0607,99.0676,173.0284,173.2342,213.3973,147.5319,160.1088,120.97388,107.3271
ENSMUSG00000025196,Cpn1,1,0,0,3,2,1,0,2,2,2,4,4,1,2,0,1
ENSMUSG00000023176,Cpn2,8,6,5,6,6,5,0,7,7,16,4,12,5,5,0,6
ENSMUSG00000074643,Cpne1,4088.36803,4055.07252,3158.25116,2416.23061,3052.922869,958.36512,723.4486894,2215.70314,2565.96011,5371.893189,4912.229721,7022.89515,4585.30343,2110.671279,875.937499,1536.96435
ENSMUSG00000034361,Cpne2,2024.99785,1867.9999,1554.0006,1075.9999,1236.00044,1140.9993,1065.9997,2831.004,1010.99995,2138.9952,2320.9965,3227.9965,1970.0041,2175.9961,1792.99564,1630
ENSMUSG00000028228,Cpne3,4264.52784,3950.31684,3229.84492,2620.22293,3179.80938,1234.39931,1240.66,2931.01633,2753.77128,5684.93294,4886.75988,6506.04459,4363.5108,3295.5504,3129.51,2232.22314
ENSMUSG00000032564,Cpne4,36,28.99996,29.00001,4.999999,12,4,6,11,4,14,40.000022,46.99998001,21,25.99995612,13,10
ENSMUSG00000024008,Cpne5,86.5107,84.7471,77.6875,59.647001,60.2471,42.3495,19.36729,100.3917,69.9149,127.758,127.85128,145.28398,108.4615,105.26518,48.91131,66.44029
ENSMUSG00000022212,Cpne6,4.00000435,0,0.99999988,0,0,1.999997396,0,1,2.0000012,2.000002818,3,5,2,3,0,1
ENSMUSG00000034796,Cpne7,8,7.02527,3.00194,7.02599,4,19.99997,24,38.99997,5,9.038706,7.00295,9.03358,7.006430623,20.00276,25.36211,15.02679
ENSMUSG00000052560,Cpne8,1135.0883,1034.77444,904.3468,514.6959496,677.878,537.70017,559.6069,1417.0483,590.427618,1239.4686,1156.77161,1741.0289,1116.5352,1241.9176,1625.1027,902.00943
ENSMUSG00000030270,Cpne9,24.988,30.89051,25.43105,9.43305,19.83845,11.96799,6.00564,26.3681,6.42602,17.453737,29.43608,41.35102,21.3072,18.3116,11.5677,16.4106
ENSMUSG00000022742,Cpox,1019.7,926.214,850.638,628.039,778.604,959.027,823.545,2268.93,842.88,1604.05,1525.15,2060.66,1338.8,2490.28,1874.01,1887.62
ENSMUSG00000065979,Cpped1,2356.99718,2172.00369,1773.00044,1449.99754,1763.00358,894.99964,709.0004,2368.0023,1801.0048,3686.99265,3180.99598,4495.99795,2853.99732,2398.9983,1443.997847,1765.99958
ENSMUSG00000039007,Cpq,3177,2682,2137,1786,2049,2065,1048,4829,1878,4141,3768,5124,3287,4733,3027,3400
ENSMUSG00000025991,Cps1,1,1,1,0,1,0,0,0,1,1,0,1,1,4,0,1
ENSMUSG00000034022,Cpsf1,2825,2569,2131,1480,1777,822,1146,2071,1616,3520,3762,4847,3047,2026,1249,1465
ENSMUSG00000041781,Cpsf2,2870,2733,2292,1547,1909,738,972,1672,1373,2919,2802,3956,2532,1594,1745,1097
ENSMUSG00000054309,Cpsf3,1953,1789,1557,1116,1380,641,669,1535,1210,2799,2476,3278,2095,1575,1370,1124
ENSMUSG00000029034,Cpsf3l,1445.7171,1297.0188,1097.49326,792.4670302,997.6343436,448.26073,509.4584,910.0069,852.84491,1916.5171,1745.8108,2273.5936,1473.9593,886.0822027,689.4538,688.51966
ENSMUSG00000029625,Cpsf4,696.0000578,615.9998,539.99951,365,497.9999469,213.9999003,136.00008,564.99928,328.99951,786.99996,830.99963,1087.00069,725.0003006,469.0004701,267.0004701,356.0001006
ENSMUSG00000018727,Cpsf4l,40.99997,30.00002,13,13,17,5,0,24.99996,14.00004,26,40.99995,34.99997,27.00005,17.99997,4,12
ENSMUSG00000055531,Cpsf6,2769.72278,2573.0616,2131.93604,1494.0138,1970.77719,732.00004,663.9992147,1767.37687,1863.1853,3710.01357,3455.37994,4906.96642,3170.5492,1793.79613,1383.09336,1292.0008
ENSMUSG00000034820,Cpsf7,2250.74,2084.98,1778.95,1294.44,1659.28,768,1126,1675.94,1248.38,2692.49,2413.44,3235.92,2117.83,1705.07,1079,1094.63
ENSMUSG00000024900,Cpt1a,4936,4370,3568,3163,3871,1894,2410,4480,4624,9573,8471,11063,7061,4972,4344,3381
ENSMUSG00000078937,Cpt1b,151.99977,116.16584,125.351201,91.99993,107.99997,86.00001,3,212.28768,88.00005,208.00014,219.20723,197.7622,163.00039,196.29275,92.99999,133.9447
ENSMUSG00000007783,Cpt1c,3002,2754,2235,1603,1807,1265,1229,3376,1993,4073,4558,6083,3791,3087,2317,2330
ENSMUSG00000028607,Cpt2,1066.99794,985.9999,821.0001,623.0004,829.9995,442.00043,400,1055,788.0004,1527.0048,1448.9975,1906.9999,1229.0043,972.00036,534.0003,730.0001
ENSMUSG00000029073,Cptp,1378.9993,1173.001,951.9993,781.9998,905.00028,354.9998,380.9997,821.001,478.9998,1101.9996,1113.9996,1533.9985,980.00053,706.9997,555.0002,502.0001
ENSMUSG00000052955,Cpvl,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000072995,Cpxcr1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027408,Cpxm1,1135.0006,1082.9955,793.9999,481,547.0001,171,32,378.0004,526.9995,1128.0042,1459.9961,2088.995,1381.0007,347,103.99999,201.9997
ENSMUSG00000030862,Cpxm2,76,74.99997,55.99996001,61,51.00005,11,1,35.000044,71.99998,113.9999,97.00004,131.0003,82.00003,33,8,28.99998
ENSMUSG00000036596,Cpz,132,140,79,61,72,35,38,130,60,131,175,253,148,109,203.00011,76
ENSMUSG00000016481,Cr1l,1748,1631,1316,965,1260,534,567,1150,971,1931,1919,2576,1713,1127,1222,836
ENSMUSG00000026616,Cr2,60,59,44,34,28,6,4,27,28,63,57,66,47,33,4,15
ENSMUSG00000094924,Cr2,2,2,0,0,2,0,1,0,1,1,3,2,2,0,0,0
ENSMUSG00000099278,CR524822.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095207,CR974586.1,4.58875,1.91529,4.65904,0.0201652,20.3402,0,4,0,12.2013,2.88075,0,47.0986,21.633,6.01905,0,0
ENSMUSG00000095552,CR974586.2,18.5409,14.1458,10.1164,13.2824,18.3261,1.32278,0,3.17023,10.7502,22.5442,21.8559,35.6729,20.5519,6.75347,3.21097,2.46768
ENSMUSG00000095585,CR974586.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095755,CR974586.4,0,1.04987,0,0,0,0,0.967556,0,0,0,0,2.01723,13.7826,0,0,5.97148
ENSMUSG00000096506,CR974586.5,5.57179,4.66316,2.69899,1.16849,5.91637,0,0,3,0,1.64695,1.265,1.15774,3.08542,0,0,0
ENSMUSG00000096646,CR974586.6,0,0,6.56343,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032291,Crabp1,564,539,379,1019,1182,93,1,227,1225,2520,687,1081,628,316,2,128
ENSMUSG00000004885,Crabp2,199,158,167,84,125,473,343,915,201,351.00013,400.99987,536.00003,333.99959,1122,1156,787
ENSMUSG00000061414,Cracr2a,21,22,23,22,22,10,0,30,22,35,56,58,39,32,10,21
ENSMUSG00000048200,Cracr2b,178.9604,146.09652,146.1224,112.02669,99.99035,50.88606,41.26281,119.35139,139.83824,322.3573,332.25126,483.3517,288.52482,136.06155,71.82522,91.15595
ENSMUSG00000045867,Cradd,101.092,71.0906,80.0309,43.0386,46.067,45.0242,20.0031,102.056,87.1216,153.19,152.794,189.864,139.168,108.968,129.034,61.0109
ENSMUSG00000038002,Cramp1l,1829.49,1799.7,1524.06,1054.78,1372.7,726.226,462.485,1817.97,1310.17,2912.39,2834.99,3817.35,2395.08,1874.82,1050.04,1230.4
ENSMUSG00000026853,Crat,1750.20073,1611.13224,1349.88505,1034.27045,1180.92734,554.1088,637.99971,1584.62098,1298.07707,2709.90829,2698.66374,3641.62228,2391.09274,1391.00612,959.42498,1045.21033
ENSMUSG00000063681,Crb1,13.00763,11.176264,4.0514,5.0708,1,5.04868,8.00329,5.05438,6.03693,5.025119,11.066778,10.02847,9.05945,4.03623,0,3.024134
ENSMUSG00000089978,Crb1-ps,5.43882,3.1238,1.05068,3.33251,6.6552,1.08459,0,3.29666,3.34338,3.18132,5.45183,7.98732,3.23795,1.14401,6.82047,2.17267
ENSMUSG00000035403,Crb2,9.01144,9.00646,11,8.028221,4,6.01319,0,12.030641,14,18.0131,11,14.0141,13.0103,18.999975,0,16.0215
ENSMUSG00000044279,Crb3,0,0,0,0,0,0,0,1,0,1,5,1,1.000000327,0,15.99998,1
ENSMUSG00000005362,Crbn,1978.045,1774.7852,1458.632379,1025.988469,1309.599,738.8223724,1159.185402,1716.93,1045.9422,2108.007,1983.9212,2716.5072,1795.826,1758.828,2619.538,1226.2355
ENSMUSG00000025532,Crcp,1090.9957,1028.0049,898.0002,541,731.9996,443.0001,531,1054.0002,688,1405.9952,1416.0049,1908.996,1221.998,941.9998,891.9998,694.0003
ENSMUSG00000027913,Crct1,74,41,64,30,56,18,1,80,48,94.00002,106,149,68,70,274,42
ENSMUSG00000025958,Creb1,1672.9977,1618.0001,1297.997,989.9363,1192,631.0000559,814.9998464,1476.995,851.9998,1805.001,1661.758,2195.9962,1449.0033,1398.999132,1607.000112,918.0003
ENSMUSG00000028466,Creb3,3259.188701,2952.7753,2323.4085,1753.2504,2293.9646,1544.94904,1428.3871,3323.8645,1612.27402,3462.5598,3438.3281,4967.6726,3000.5225,3209.60452,2098.5819,2465.27154
ENSMUSG00000027230,Creb3l1,2077,1913,1637,1102,1316,1131,480,2911,890,1998,2261,3213,2010,2245,741,1723
ENSMUSG00000038648,Creb3l2,3273.5509,2998.26,2392.47,2224.6783,2482.58677,1517.58523,757.242,3724.48301,2736.0166,5968.6398,5220.4905,7378.9917,4622.7087,4447.4863,1636.93,2685.1278
ENSMUSG00000035041,Creb3l3,5.999999,4,10.999971,1,4,3,0,8,2.999996,4,10,6.000002,10,5,1,5.00001
ENSMUSG00000027938,Creb3l4,92,59,61,46.00004,43,49,24,104,51,112,104,123,98,95.00002,76,72
ENSMUSG00000053007,Creb5,261.283,269.368,189.145,181.835,231.571,63.2855,65.2474,142.069,76.9496,157.879,145.296,156.732,119.532,115.777,21.0626,80.4129
ENSMUSG00000022521,Crebbp,2070.82,1978,1469,1184,1398,674,676,1585,1306,2777,2900,3530,2349,1669,1010,1048.6
ENSMUSG00000032652,Crebl2,860.00287,757.00006,645.99958,464.00228,538.9996,572.00042,642,1596.99523,629.00427,1265.00228,1234.9954,1726.0014,1110.0048,1613.00098,1474.99968,1271.99513
ENSMUSG00000048249,Crebrf,2472.997,2346.00145,1928.0009,1220.9954,1537.0035,1761.9981,2424.00381,4289.9805,2099.99533,4112.99668,4031.91017,5406.99678,3575.9919,4386.9548,5605.6182,3091.99983
ENSMUSG00000051451,Crebzf,1529.003,1416.99474,1263.99993,853.00008,990.99999,553.99969,372.0001,1350.9962,828.99947,1772.99742,1770.99571,2579.0021,1687.00103,1488.99744,957.0004,931.9997
ENSMUSG00000040713,Creg1,3964.9969,3590.9984,3176.004,1795.002,2211.005,440,1093,1132,2457.9984,5207.9972,6261.0003,9090.999,5731.0005,1104,2627.005,715.0001
ENSMUSG00000050967,Creg2,30.2779,38.215,25.4621,14.1158,12.1372,1.19032,4.00448,15.0585,99.1478,173.13,161.165,191.715,153.931,12.0533,14.0209,7.46807
ENSMUSG00000030284,Creld1,1841.00215,1723.9956,1362.997,910.99986,1025.00001,671.00016,330.0002,1771.00302,951.99992,2006.00115,2453.0042,3513,2140.9967,1700.99782,728.0007,1240.00142
ENSMUSG00000023272,Creld2,1128,1047,888,596,750,706,379,1714,631,1438,1443,2009,1255,1591,1077,1227
ENSMUSG00000063889,Crem,559.9995845,547.99949,381.9999432,295.99992,412.999821,239.0000301,336.00049,537.0001108,287.0001091,633.9996607,641.0171118,870.3006959,598.9993196,555.000199,567.0000967,391.000024
ENSMUSG00000049796,Crh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000021680,Crhbp,8,3,1,8,12,10,0,16,3,10,8,12,13,14,0,34
ENSMUSG00000018634,Crhr1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
ENSMUSG00000003476,Crhr2,1,0,0,1,0,1,0,1,1,1.999998,1,1,1,0,0,2.999998778
ENSMUSG00000024074,Crim1,10543,9942,7864,5806,6965,4087,1017,10134,4553,9700,9947,13369,8600,9032,2381,6287
ENSMUSG00000006360,Crip1,541,526,374,333,414,7,16,54,368,864,666,1052,654,61,21,36
ENSMUSG00000006356,Crip2,5323,4600,3912,2464,2868,3130,2334,7716,2680,5618,6730,9858,5622,7086,4787,5419
ENSMUSG00000023968,Crip3,1,4.000003,3,2,1,6.999997,0,3,3,3,3,8.000006374,6,5,10,5
ENSMUSG00000024146,Cript,1654.0044,1466.25942,1195.9993,846.00003,1035.0017,582.0006,1040.0003,1483.00149,963.00748,1904.6291,1920.3517,2615.4054,1756.0316,1322.0038,2183,966.0069
ENSMUSG00000025431,Crisp1,0,0,1,1,1,4,45,14,1,5.71446,0,0,1,14,111,9
ENSMUSG00000023930,Crisp2,5,6,4.000002,2,4.000003,5.999993,0,14.99997,3.000002,4.999996,5.999994,11,5.000003,15.00002,8,16.00001
ENSMUSG00000025433,Crisp3,0,0,1,0,0,0,0,0,0,2.28554,0,0,0,0,0,0
ENSMUSG00000025774,Crisp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025776,Crispld1,224.9177,195.6587,164.03453,138.38159,166.3589,70.88075,12.0148,159.82391,130.9668,226.7667,179.1093,212.9717,121.1289,121.8957,25.03663,99.06804
ENSMUSG00000031825,Crispld2,284.9998,271.0002,184.0002011,268.0004,230.9999,82,31.99999,205.9999,196.0004213,494.9999,338.0003,442.00039,278.9995,255.00053,11.00002264,166.9995
ENSMUSG00000017776,Crk,7241.3709,6926.14,5898.2734,4041.6722,5305.36324,2448.26653,2877.4706,5587.74609,4154.83372,8959.69028,8262.3898,11292.28273,7634.223,5406.7095,5155.2415,3695.53226
ENSMUSG00000006134,Crkl,2370,2254,1783,1422,1578,821,775,1948,1301,2563,2574,3451,2264,1912,1412,1298
ENSMUSG00000007888,Crlf1,1836.0005,1616.0042,1415.9949,745.0001,755.9995,1614.004,1263.9998,3804.997,762.0001,1616.001,2449.001,3635.9976,2193.9987,3588,2066.001,2809.995
ENSMUSG00000033467,Crlf2,426,394,319,150,143,165,256,504,138,320,431,950,457,394,240,289
ENSMUSG00000017561,Crlf3,1126.7849,1061.0214,899.0564,684.9005,892.5968,225.00188,274.0198,522.7997,589.5444379,1259.01661,1040.536264,1499.18802,946.4323,573.75559,491.9929,417.0400787
ENSMUSG00000027357,Crls1,1188.0003,1048,920.0001,619.9999,789,476,458.9995,1205.9997,573.000242,1296.00073,1286.999747,1798.999776,1130,986.0008,977,726.9994
ENSMUSG00000029121,Crmp1,1113,1084,893,548,637,37,223,143,390,777,869,1341,730,82,141,50
ENSMUSG00000031736,Crnde,46.99997,41.99998,38.00002,23.00004,43.99996,51.99994,86.99999,113,53.999966,112.00001,67.00002,131,67.99998,158.99976,215,110.00003
ENSMUSG00000001767,Crnkl1,1522.87415,1381.9701,1235.93689,775.9917,1028.94311,646.93896,855,1524.68236,863.94383,1630.90941,1524.87844,2157.9356,1456.83449,1365.82802,1616.95,956.91412
ENSMUSG00000078657,Crnn,0,0,0,1,1,1,5,22,0,0,0,0,0,25,134,13
ENSMUSG00000040860,Crocc,405.0002127,389.999615,339.999918,208.9997683,227.999941,104.000045,176.000031,306.999556,236.999988,539.000434,685.99955,988.000311,570.000259,267.0000651,233.9999615,252.0000607
ENSMUSG00000003623,Crot,1988.1096,1751.9999,1516.1301,1095.80295,1370.0715,748.04726,1135.1076,1841.9242,1541.8856,3123.5369,2913.8172,3957.956,2595.6613,1994.195,2825.4015,1286.2854
ENSMUSG00000037942,Crp,1.1853,1.17858,4.46288,3.43626,2.23651,2.03099,0,2.40293,6.0271,6.95206,6.50798,9.12479,5.155,5.61567,0,1.01203
ENSMUSG00000047657,Crry-ps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042401,Crtac1,1,2,0,3,2,5,0,8,4,2,2,4,7,7,0,6
ENSMUSG00000032021,Crtam,1,2,1,2,4,1,0,0,1,4.000001,3,3,1,1,0,2
ENSMUSG00000032431,Crtap,4969,4391,3656.005,2839.001,3426.005,1408.995,594,3404.004,3042,6896,6248,8915,5335,3257.001,1605.004,2282.997
ENSMUSG00000003575,Crtc1,928.0671,820.00044,662.0072,452.00003,514.0002,401.23025,269.99989,1026.9995,544.02742,1175.0054,1392.0208,1838.0002,1159.02745,956.3854,525.00025,723.3193
ENSMUSG00000027936,Crtc2,1831.7458,1655.6967,1360.1339,942.0665,1204.13188,585.10067,645.8835,1423.0884,786.38885,1747.2397,1821.9363,2391.4955,1486.97005,1153.7356,696.0846076,770.7286
ENSMUSG00000030527,Crtc3,1037.33053,1026.88654,777.0661,575.5934571,659.4358,452.50348,284.282,1045.635725,852.55764,1716.48268,1708.196012,2234.70686,1455.77868,1193.6475,549.61587,776.36752
ENSMUSG00000041578,Crx,25.9034,29.2395,20.1609,13.7613,14.6722,10.7736,13.39320002,16.6843,15.0952,35.542,30.8652,37.1257,20.4269,15.4065,6.15309,12.9543
ENSMUSG00000074365,Crxos,0,5,1,1,1,0,0,0,1,3,5.00000025,3.469567,0,0,0,0
ENSMUSG00000020038,Cry1,240,230,151,133,183,103,118,216,117,243,220,352,196,199,141,124
ENSMUSG00000068742,Cry2,947.6098,859.0169,705.3618,506.5738,601.0719,429.43857,260.6544,1024.4918,646.8344,1412.65471,1575.712,2081.584,1349.742,1036.86809,669.80489,849.1773
ENSMUSG00000024041,Cryaa,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000032060,Cryab,4664,4129,3718,2107,2691,7501,5418,15164,2159,5245,5661,8141,5273,16851,13422,12836
ENSMUSG00000000724,Cryba1,1.01118,5.05417,4.14688,3.02448,1.00899,3.02799,0,2.00718,1,7.05837,6.05794,2.04523,8.2353,1,0,4.00975
ENSMUSG00000006546,Cryba2,4,0,0,0,0,0,0,1.00684,0,3.00355,1.00891,1,1.00615,1,0,0
